latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
-23.82154,46.86336,336.42,0.52,0.41,2025-11-01,1053,N,VIIRS,n,2.0NRT,309.65,3.12,D
-24.26566,44.22935,343.66,0.4,0.37,2025-11-01,1053,N,VIIRS,n,2.0NRT,304.25,14.92,D
-24.2628,44.20415,340.53,0.4,0.37,2025-11-01,1053,N,VIIRS,n,2.0NRT,308.22,4.59,D
-24.26005,44.19951,338.37,0.4,0.37,2025-11-01,1053,N,VIIRS,n,2.0NRT,307.84,4.21,D
-23.82348,46.68137,336.99,0.51,0.41,2025-11-01,1053,N,VIIRS,l,2.0NRT,307.57,3.81,D
-24.24305,44.19619,338.44,0.4,0.37,2025-11-01,1053,N,VIIRS,n,2.0NRT,304.33,1.31,D
-23.86152,46.36769,342.38,0.49,0.4,2025-11-01,1053,N,VIIRS,n,2.0NRT,310.62,5.9,D
-23.86019,46.36917,338.44,0.49,0.4,2025-11-01,1053,N,VIIRS,l,2.0NRT,309.56,5.24,D
-23.77813,46.63314,337.34,0.5,0.41,2025-11-01,1053,N,VIIRS,l,2.0NRT,308.15,4.71,D
-23.67819,47.11547,334.42,0.53,0.42,2025-11-01,1053,N,VIIRS,n,2.0NRT,297.21,5.08,D
-23.82697,46.10479,338.65,0.47,0.4,2025-11-01,1053,N,VIIRS,l,2.0NRT,312.7,8.1,D
-23.67054,46.74916,347.37,0.51,0.41,2025-11-01,1053,N,VIIRS,n,2.0NRT,305.2,4.88,D
-23.67181,46.75228,331.87,0.51,0.41,2025-11-01,1053,N,VIIRS,l,2.0NRT,305.94,2.44,D
-23.75722,46.16574,338.79,0.48,0.4,2025-11-01,1053,N,VIIRS,l,2.0NRT,312.83,4.03,D
-23.75967,46.1519,338.05,0.48,0.4,2025-11-01,1053,N,VIIRS,l,2.0NRT,309.76,4.19,D
-23.75355,46.16493,340.69,0.48,0.4,2025-11-01,1053,N,VIIRS,l,2.0NRT,312.56,4.03,D
-23.6769,46.57183,339.66,0.5,0.41,2025-11-01,1053,N,VIIRS,n,2.0NRT,303.72,2.81,D
-23.68504,46.44058,334.15,0.49,0.41,2025-11-01,1053,N,VIIRS,l,2.0NRT,307.77,3.92,D
-23.55005,47.06987,330.34,0.53,0.42,2025-11-01,1053,N,VIIRS,n,2.0NRT,299.47,2.96,D
-23.52812,46.95137,332.93,0.53,0.42,2025-11-01,1053,N,VIIRS,n,2.0NRT,299.79,4.49,D
-23.5291,46.94616,331.35,0.53,0.42,2025-11-01,1053,N,VIIRS,n,2.0NRT,300.66,4.5,D
-23.53134,46.94927,330.27,0.53,0.42,2025-11-01,1053,N,VIIRS,l,2.0NRT,302.14,3.04,D
-23.5275,46.94844,331.36,0.53,0.42,2025-11-01,1053,N,VIIRS,n,2.0NRT,299.87,3.04,D
-23.9266,44.35441,340.36,0.41,0.37,2025-11-01,1053,N,VIIRS,n,2.0NRT,306.33,7.47,D
-23.5307,46.60506,338.33,0.51,0.41,2025-11-01,1053,N,VIIRS,n,2.0NRT,299.31,10,D
-23.9435,44.18853,338.74,0.4,0.37,2025-11-01,1053,N,VIIRS,l,2.0NRT,310.23,6.82,D
-23.88111,44.31665,342.68,0.41,0.37,2025-11-01,1053,N,VIIRS,n,2.0NRT,308.26,12.75,D
-23.90805,44.08753,341.81,0.4,0.37,2025-11-01,1053,N,VIIRS,l,2.0NRT,311.82,4.3,D
-23.46785,46.63448,339.33,0.51,0.41,2025-11-01,1053,N,VIIRS,n,2.0NRT,307.68,5.46,D
-23.90465,44.08688,341.48,0.4,0.37,2025-11-01,1053,N,VIIRS,n,2.0NRT,309.06,4.3,D
-23.85903,44.27931,343.14,0.41,0.37,2025-11-01,1053,N,VIIRS,n,2.0NRT,312.68,13.53,D
-23.42628,46.5397,367,0.5,0.41,2025-11-01,1053,N,VIIRS,h,2.0NRT,308.08,20.22,D
-23.4272,46.53466,336.79,0.5,0.41,2025-11-01,1053,N,VIIRS,n,2.0NRT,307.76,20.22,D
-23.40797,46.61835,337.3,0.51,0.41,2025-11-01,1053,N,VIIRS,l,2.0NRT,308.04,2.34,D
-23.69977,44.97247,347.15,0.43,0.38,2025-11-01,1053,N,VIIRS,n,2.0NRT,308.57,4.32,D
-23.85482,43.96328,341.89,0.4,0.37,2025-11-01,1053,N,VIIRS,n,2.0NRT,308.29,3.68,D
-23.34693,46.42046,348.26,0.5,0.41,2025-11-01,1053,N,VIIRS,n,2.0NRT,306.38,6.46,D
-23.37654,46.15002,340.75,0.48,0.4,2025-11-01,1053,N,VIIRS,l,2.0NRT,311.77,3.57,D
-23.3774,46.14531,335.5,0.48,0.4,2025-11-01,1053,N,VIIRS,l,2.0NRT,308.41,3.57,D
-23.34335,46.31224,334.07,0.49,0.4,2025-11-01,1053,N,VIIRS,l,2.0NRT,305.46,3.24,D
-23.32712,46.38001,346.04,0.5,0.41,2025-11-01,1053,N,VIIRS,n,2.0NRT,305.04,6.5,D
-23.0932,46.97112,331.44,0.54,0.42,2025-11-01,1053,N,VIIRS,l,2.0NRT,304.19,3.53,D
-23.1743,46.51501,343.96,0.51,0.41,2025-11-01,1053,N,VIIRS,n,2.0NRT,303.77,9.95,D
-23.1753,46.50959,354.34,0.51,0.41,2025-11-01,1053,N,VIIRS,n,2.0NRT,304.77,25.08,D
